,Average Outflow,Average Inflow,Energy Consumption,Ammonia,Biological Oxygen Demand,Chemical Oxygen Demand,Total Nitrogen,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure,Average humidity,Total rainfall,Average visibility,Average wind speed,Maximum wind speed,Year,Month,Day
14,2.95,3.6,200044.0,38.0,505.5,1011.0,65.59,17.6,22.6,14.0,0.0,61.0,0.0,10.0,25.0,37.0,2014.0,1.0,21.0
15,2.935,3.481,173825.0,47.0,470.0,980.0,76.0,16.3,23.4,10.0,0.0,59.0,0.0,0.0,17.4,29.4,2014.0,1.0,22.0
16,2.937,3.623,230632.0,39.0,431.0,862.0,64.847,23.6,33.7,10.2,0.0,52.0,1.52,8.5,14.8,27.8,2014.0,1.0,23.0
17,3.308,3.785,236472.0,45.0,380.0,760.0,62.09,16.3,22.8,12.8,0.0,72.0,4.32,10.0,21.9,31.7,2014.0,1.0,24.0
18,2.933,3.596,214057.0,36.0,345.0,690.0,63.227,29.3,35.5,16.7,0.0,26.0,0.0,0.0,32.6,48.2,2014.0,1.0,27.0
19,2.94,3.642,204062.0,29.0,286.5,573.0,54.63,27.2,42.1,17.6,0.0,34.0,0.0,10.0,25.7,51.9,2014.0,1.0,28.0
20,3.427,3.519,245524.0,31.0,360.0,720.0,61.496,17.7,23.7,13.0,0.0,64.0,0.0,10.0,20.2,33.5,2014.0,1.0,29.0
21,2.98,3.541,230113.0,38.0,380.0,840.0,65.374,22.6,31.1,12.9,0.0,55.0,0.0,8.0,13.3,22.2,2014.0,1.0,30.0
22,2.997,3.526,214635.0,43.0,344.0,688.0,63.521,31.7,40.5,23.0,0.0,23.0,0.0,0.0,15.6,33.5,2014.0,2.0,2.0
23,2.978,3.542,210017.0,44.0,390.5,781.0,62.569,19.2,0.0,13.8,0.0,56.0,0.51,10.0,29.6,38.9,2014.0,2.0,3.0
24,2.983,3.332,201393.0,35.0,391.5,783.0,62.218,17.7,25.0,10.8,0.0,54.0,0.0,10.0,25.7,44.6,2014.0,2.0,4.0
25,2.989,3.249,201578.0,48.0,270.0,740.0,55.0,22.5,30.9,10.6,0.0,42.0,0.0,0.0,20.0,51.9,2014.0,2.0,5.0
26,2.991,3.408,190528.0,46.0,385.0,770.0,63.38,28.7,35.3,14.2,0.0,27.0,0.0,0.0,29.8,51.9,2014.0,2.0,6.0
27,2.989,3.498,177913.0,41.0,377.5,755.0,62.371,21.8,0.0,13.0,0.0,36.0,0.0,10.0,25.4,57.6,2014.0,2.0,9.0
28,2.967,3.488,174894.0,34.0,435.5,871.0,64.366,17.6,23.7,12.0,0.0,61.0,0.0,9.7,20.6,31.7,2014.0,2.0,10.0
29,2.965,3.448,196915.0,36.0,320.0,871.0,64.301,20.1,27.3,11.9,0.0,68.0,0.0,6.4,14.8,20.6,2014.0,2.0,11.0
30,3.625,3.426,164381.0,35.0,420.5,841.0,64.301,22.1,28.1,14.9,0.0,69.0,0.0,7.7,13.9,24.1,2014.0,2.0,12.0
31,2.991,3.456,231265.0,37.0,416.5,833.0,64.366,22.6,26.4,17.7,0.0,62.0,0.0,8.2,8.1,16.5,2014.0,2.0,13.0
32,2.995,3.611,178585.0,37.0,357.5,715.0,61.825,17.1,23.0,12.7,0.0,68.0,0.25,10.0,19.8,35.2,2014.0,2.0,16.0
33,3.356,3.601,203040.0,33.0,330.0,828.0,58.0,18.1,25.7,11.8,0.0,60.0,0.0,10.0,12.6,25.9,2014.0,2.0,17.0
34,2.97,3.703,212571.0,37.0,453.5,907.0,65.42,21.6,31.9,11.5,0.0,57.0,0.0,10.0,15.4,27.8,2014.0,2.0,18.0
35,3.812,3.585,211797.0,37.0,405.5,811.0,62.023,15.7,25.7,10.0,0.0,65.0,7.37,9.2,22.8,51.9,2014.0,2.0,19.0
36,3.092,3.561,217368.0,30.0,404.5,809.0,62.218,14.9,20.2,10.0,0.0,55.0,0.0,10.0,27.4,44.6,2014.0,2.0,20.0
37,3.129,3.519,186966.0,30.0,280.0,949.0,64.366,17.4,24.6,12.8,0.0,67.0,0.0,10.0,11.3,22.2,2014.0,2.0,23.0
38,2.721,3.39,233170.0,37.0,421.5,843.0,64.522,19.2,30.0,12.5,0.0,62.0,0.0,0.0,17.0,42.4,2014.0,2.0,24.0
39,2.994,3.478,240026.0,37.0,472.0,944.0,65.878,21.1,36.4,12.0,0.0,50.0,0.0,10.0,20.4,38.9,2014.0,2.0,25.0
40,2.977,3.564,221132.0,44.0,489.5,979.0,65.59,15.5,21.5,10.0,0.0,61.0,0.0,9.7,20.0,35.2,2014.0,2.0,26.0
41,3.146,3.67,189753.0,41.0,434.5,869.0,64.522,15.2,21.3,9.6,0.0,59.0,0.0,10.0,23.3,35.2,2014.0,2.0,27.0
42,3.17,3.563,248635.0,42.0,351.0,702.0,62.16,17.0,23.0,12.0,0.0,67.0,0.0,10.0,15.0,27.8,2014.0,3.0,2.0
43,3.177,3.569,226624.0,37.0,320.0,870.0,66.0,19.8,27.0,11.8,0.0,65.0,0.0,10.0,16.1,42.4,2014.0,3.0,3.0
44,3.175,3.441,208340.0,34.0,437.0,874.0,65.531,26.7,34.1,13.5,0.0,42.0,0.0,10.0,24.8,38.9,2014.0,3.0,4.0
45,3.182,3.505,217462.0,33.0,400.5,801.0,61.866,16.1,25.9,13.6,0.0,63.0,0.0,10.0,21.9,27.8,2014.0,3.0,5.0
46,3.595,3.521,232162.0,39.0,477.5,955.0,65.59,15.7,21.0,11.7,0.0,61.0,0.0,10.0,17.4,25.9,2014.0,3.0,6.0
47,3.044,3.571,213487.0,39.0,434.0,868.0,64.301,18.1,22.7,11.6,0.0,74.0,0.0,10.0,17.0,31.7,2014.0,3.0,7.0
48,3.033,3.448,227709.0,39.0,410.0,820.0,63.578,24.5,35.2,17.7,0.0,37.0,0.0,0.0,17.0,38.9,2014.0,3.0,10.0
49,3.156,3.599,249208.0,48.0,360.0,840.0,65.531,21.5,32.1,14.0,0.0,60.0,3.3,10.0,17.0,35.2,2014.0,3.0,11.0
50,3.155,3.349,228459.0,44.0,465.0,930.0,64.411,15.6,21.3,9.7,0.0,59.0,0.0,10.0,16.3,29.4,2014.0,3.0,12.0
51,3.145,3.31,230038.0,41.0,405.0,810.0,62.218,17.2,23.7,9.6,0.0,66.0,0.0,10.0,13.0,25.9,2014.0,3.0,13.0
52,3.158,3.499,199081.0,42.0,355.0,710.0,62.371,15.7,20.0,10.8,0.0,52.0,1.02,10.0,21.0,42.4,2014.0,3.0,16.0
53,3.151,3.476,201565.0,36.0,375.0,750.0,61.825,18.3,25.3,11.6,0.0,65.0,0.0,10.0,18.5,35.2,2014.0,3.0,17.0
54,3.157,3.402,239774.0,31.0,425.0,850.0,64.366,16.7,25.1,9.6,0.0,62.0,0.0,10.0,14.1,25.9,2014.0,3.0,18.0
55,3.158,3.36,222446.0,35.0,530.0,930.0,65.0,15.6,23.0,9.2,0.0,66.0,0.0,10.0,15.4,29.4,2014.0,3.0,19.0
56,3.021,3.4,219441.0,35.0,457.5,915.0,65.577,23.1,31.1,9.2,0.0,28.0,0.0,0.0,22.6,37.0,2014.0,3.0,20.0
57,2.482,3.451,230837.0,40.0,485.0,970.0,65.59,13.2,16.8,9.0,0.0,66.0,0.0,9.8,13.5,27.8,2014.0,3.0,23.0
58,3.063,3.426,236305.0,32.0,422.5,845.0,64.301,14.7,18.3,8.9,0.0,76.0,1.02,10.0,15.0,25.9,2014.0,3.0,24.0
59,3.077,3.427,233045.0,30.0,462.5,925.0,64.411,18.3,24.3,11.9,0.0,66.0,0.0,10.0,11.7,22.2,2014.0,3.0,25.0
60,2.735,3.444,244547.0,46.0,422.5,845.0,64.301,20.3,27.3,12.5,0.0,70.0,5.59,8.9,11.9,27.8,2014.0,3.0,26.0
61,2.972,3.431,233574.0,34.0,450.0,855.0,64.411,19.6,25.9,15.9,0.0,84.0,7.87,8.9,12.6,29.4,2014.0,3.0,27.0
62,2.997,3.516,246220.0,41.0,415.0,830.0,64.412,20.2,26.6,14.0,0.0,69.0,0.0,10.0,15.2,38.9,2014.0,3.0,30.0
63,3.003,3.568,267399.0,35.0,420.0,840.0,65.486,25.2,32.0,15.4,0.0,43.0,0.0,0.0,23.5,42.4,2014.0,3.0,31.0
64,3.004,3.652,289188.0,41.0,472.5,945.0,66.354,26.9,33.7,5.5,0.0,38.0,0.0,0.0,34.6,46.5,2014.0,4.0,1.0
65,2.936,3.444,241800.0,37.0,380.0,920.0,64.0,16.9,26.0,13.0,0.0,80.0,0.0,9.3,16.7,37.0,2014.0,4.0,2.0
66,2.97,3.416,257357.0,37.0,457.5,915.0,64.366,15.1,17.3,13.3,0.0,70.0,0.25,10.0,22.2,31.7,2014.0,4.0,3.0
67,2.97,3.191,254817.0,40.0,405.0,810.0,62.374,16.4,23.2,11.0,0.0,77.0,0.0,10.0,13.1,35.2,2014.0,4.0,6.0
68,2.993,3.592,265212.0,36.0,390.0,780.0,62.218,19.9,25.2,10.8,0.0,53.0,0.0,0.0,21.7,38.9,2014.0,4.0,7.0
69,3.008,3.432,264549.0,37.0,220.0,835.0,64.412,17.3,21.0,15.6,0.0,86.0,16.26,8.7,14.8,42.4,2014.0,4.0,8.0
70,2.905,3.38,310372.0,32.0,365.0,730.0,61.24,16.4,17.5,16.0,0.0,97.0,18.03,6.3,10.9,18.3,2014.0,4.0,9.0
71,3.009,3.468,330334.0,24.0,323.0,646.0,59.603,17.1,18.2,16.0,0.0,96.0,10.41,51.1,14.6,33.5,2014.0,4.0,10.0
72,3.0,3.432,288220.0,34.0,335.0,670.0,61.866,14.1,20.4,8.0,0.0,76.0,0.0,10.0,14.6,27.8,2014.0,4.0,13.0
73,4.799,5.071,300570.0,44.0,340.0,744.0,56.0,14.3,20.3,8.1,0.0,69.0,0.0,10.0,16.9,27.8,2014.0,4.0,14.0
74,3.041,3.621,272809.0,42.0,357.5,715.0,62.218,14.0,19.5,8.0,0.0,77.0,0.25,9.8,14.8,25.9,2014.0,4.0,15.0
75,3.615,3.494,295544.0,28.0,345.0,690.0,59.446,14.9,22.6,8.9,0.0,73.0,0.0,0.0,11.5,20.6,2014.0,4.0,16.0
76,3.042,3.495,214921.0,34.0,371.0,742.0,62.023,12.4,18.9,9.0,0.0,72.0,1.52,10.0,18.9,35.2,2014.0,4.0,18.0
77,3.618,3.483,244534.0,33.0,310.0,740.0,62.218,15.9,19.0,10.9,0.0,48.0,1.52,0.0,44.4,59.4,2014.0,4.0,21.0
78,3.012,3.492,241273.0,31.0,340.0,680.0,62.023,13.3,17.3,9.5,0.0,87.0,3.05,9.7,11.7,37.0,2014.0,4.0,22.0
79,3.004,3.417,226195.0,35.0,365.0,730.0,62.061,14.9,18.8,8.7,0.0,56.0,0.51,9.8,15.0,29.4,2014.0,4.0,23.0
80,3.016,3.575,197036.0,38.0,370.0,740.0,61.186,15.7,20.1,3.5,0.0,47.0,0.0,0.0,25.9,37.0,2014.0,4.0,25.0
81,2.996,3.411,200407.0,42.0,340.0,690.0,60.0,10.8,16.1,4.8,0.0,61.0,0.0,10.0,17.6,35.2,2014.0,4.0,27.0
82,3.27,3.401,221851.0,36.0,415.0,830.0,63.689,18.8,21.0,4.2,0.0,60.0,0.0,10.0,43.0,57.6,2014.0,4.0,28.0
83,2.977,3.376,254684.0,42.0,407.0,814.0,62.246,12.8,20.0,8.6,0.0,87.0,7.87,9.5,17.2,37.0,2014.0,4.0,29.0
84,3.109,3.39,210285.0,27.0,302.5,605.0,53.59,9.5,16.0,4.7,0.0,72.0,0.0,10.9,18.5,40.7,2014.0,4.0,30.0
85,3.109,3.367,271464.0,29.0,400.0,800.0,61.384,11.8,16.0,4.5,0.0,57.0,0.0,10.0,20.6,37.0,2014.0,5.0,1.0
86,3.118,3.322,201502.0,32.0,357.0,714.0,61.825,10.4,14.0,7.0,0.0,79.0,1.02,9.8,20.4,35.2,2014.0,5.0,4.0
87,3.117,3.537,260493.0,43.0,260.0,720.0,62.16,12.1,16.3,8.3,0.0,75.0,0.25,10.0,15.6,25.9,2014.0,5.0,5.0
88,3.123,3.478,284909.0,37.0,380.0,760.0,61.339,10.8,14.0,8.7,0.0,78.0,0.51,10.0,15.6,24.1,2014.0,5.0,6.0
89,3.138,3.339,305726.0,41.0,385.0,770.0,60.757,8.1,14.5,3.0,0.0,73.0,0.25,10.0,14.1,25.9,2014.0,5.0,7.0
90,3.217,3.37,285409.0,46.0,370.0,740.0,61.051,11.0,17.5,2.3,0.0,58.0,0.0,0.0,14.3,31.7,2014.0,5.0,8.0
91,3.124,3.393,242891.0,43.0,380.0,760.0,62.218,12.2,19.0,7.0,0.0,80.0,0.51,10.0,12.4,18.3,2014.0,5.0,11.0
92,3.109,3.435,244843.0,32.0,435.0,870.0,63.467,12.1,18.5,6.0,0.0,76.0,0.0,10.0,10.7,22.2,2014.0,5.0,12.0
93,3.909,4.357,261172.0,36.0,210.0,760.0,57.0,13.5,20.4,5.2,0.0,72.0,0.0,10.0,14.6,25.9,2014.0,5.0,13.0
94,3.162,3.565,269218.0,40.0,392.5,785.0,61.748,16.3,21.0,7.4,0.0,62.0,0.0,10.0,30.9,46.5,2014.0,5.0,14.0
95,3.156,3.48,300138.0,34.0,450.0,900.0,63.995,17.2,21.6,13.1,0.0,56.0,0.0,0.0,36.5,46.5,2014.0,5.0,15.0
96,3.16,3.926,294444.0,31.0,367.5,735.0,61.396,17.1,21.2,15.0,0.0,61.0,0.0,0.0,32.6,40.7,2014.0,5.0,18.0
97,2.971,3.575,299317.0,34.0,395.0,790.0,61.396,17.2,23.0,12.0,0.0,66.0,0.0,0.0,29.1,42.4,2014.0,5.0,19.0
98,2.969,3.621,295754.0,35.0,440.0,880.0,63.728,14.5,22.1,9.0,0.0,76.0,0.0,10.0,15.6,31.7,2014.0,5.0,20.0
99,3.512,3.475,288762.0,30.0,390.0,816.0,62.023,17.9,23.4,8.6,0.0,65.0,0.0,10.0,27.4,44.6,2014.0,5.0,21.0
100,2.806,3.325,304978.0,33.0,408.0,816.0,61.496,17.8,21.0,14.6,0.0,65.0,3.3,9.8,22.2,40.7,2014.0,5.0,22.0
101,2.771,3.098,277934.0,42.0,355.0,710.0,61.719,15.1,19.5,8.8,0.0,83.0,0.0,10.0,22.4,44.6,2014.0,5.0,25.0
102,2.733,3.049,271449.0,30.0,400.0,800.0,61.496,17.9,19.4,8.6,0.0,68.0,0.0,10.0,30.7,46.5,2014.0,5.0,26.0
103,2.996,3.363,269010.0,26.0,420.0,840.0,64.256,14.8,20.0,10.5,0.0,72.0,0.51,10.0,20.4,27.8,2014.0,5.0,27.0
104,3.003,3.424,255480.0,37.0,392.5,785.0,61.866,12.2,18.3,7.0,0.0,79.0,0.25,10.0,15.6,27.8,2014.0,5.0,28.0
105,3.02,3.371,259464.0,38.0,430.0,815.0,61.0,9.9,15.0,4.6,0.0,78.0,0.0,10.0,8.1,16.5,2014.0,5.0,29.0
106,2.996,3.427,244163.0,31.0,355.0,710.0,61.866,12.0,14.3,8.7,0.0,94.0,5.33,82.0,5.9,16.5,2014.0,6.0,1.0
107,3.012,3.431,263614.0,36.0,392.5,785.0,61.339,13.1,15.0,8.1,0.0,91.0,2.29,7.9,13.1,25.9,2014.0,6.0,2.0
108,3.015,3.502,261779.0,31.0,387.5,775.0,62.061,12.8,16.3,8.0,0.0,52.0,0.0,0.0,11.0,21.8,2014.0,6.0,3.0
109,3.0,3.52,194840.0,38.0,370.0,667.0,61.863,12.9,18.0,8.2,0.0,54.0,3.3,51.3,12.0,25.9,2014.0,6.0,4.0
110,3.025,3.569,284030.0,49.0,383.0,766.0,61.786,9.9,14.9,7.0,0.0,56.0,0.0,0.0,7.4,18.3,2014.0,6.0,5.0
111,3.028,2.807,299010.0,41.0,370.0,740.0,60.952,11.4,15.0,5.9,0.0,56.0,0.25,0.0,9.8,20.6,2014.0,6.0,6.0
112,3.03,4.139,244693.0,34.0,350.0,700.0,61.228,10.2,14.2,3.0,0.0,54.0,0.0,51.5,10.9,22.2,2014.0,6.0,9.0
113,3.186,3.472,239908.0,42.0,540.0,785.0,60.0,11.1,18.1,6.3,0.0,74.0,0.0,0.0,17.8,25.9,2014.0,6.0,10.0
114,3.001,3.386,269410.0,43.0,450.0,900.0,63.052,12.4,16.2,6.4,0.0,74.0,0.0,0.0,25.2,42.4,2014.0,6.0,11.0
115,3.558,3.726,280648.0,39.0,435.0,870.0,63.775,12.7,15.0,9.5,0.0,75.0,3.3,10.3,24.1,42.4,2014.0,6.0,12.0
116,2.975,3.593,250741.0,35.0,330.0,660.0,61.866,10.9,14.3,7.6,0.0,79.0,0.51,0.0,18.0,21.8,2014.0,6.0,15.0
117,3.751,4.333,256136.0,42.0,250.0,711.0,62.355,11.2,16.0,8.3,0.0,52.0,1.52,51.8,19.4,29.4,2014.0,6.0,16.0
118,4.515,4.521,260096.0,34.0,382.0,764.0,61.866,11.6,15.1,8.7,0.0,76.0,0.0,0.0,11.3,20.6,2014.0,6.0,17.0
119,3.341,3.605,273464.0,33.0,346.5,693.0,60.662,9.8,13.1,6.0,0.0,71.0,0.0,10.6,12.6,38.9,2014.0,6.0,18.0
120,3.014,3.543,270896.0,35.0,368.5,737.0,61.384,10.1,11.0,5.4,0.0,52.0,0.0,0.0,31.1,44.6,2014.0,6.0,19.0
121,3.219,3.42,262206.0,38.0,330.0,750.0,58.0,12.4,14.5,7.7,0.0,75.0,0.0,0.0,35.9,68.3,2014.0,6.0,22.0
122,3.167,3.689,299892.0,32.0,310.0,620.0,58.036,8.7,14.6,4.9,0.0,72.0,2.79,51.8,26.3,53.5,2014.0,6.0,23.0
123,3.011,3.553,297802.0,24.0,308.0,616.0,56.8,10.6,13.6,4.1,0.0,70.0,0.0,0.0,32.8,74.1,2014.0,6.0,24.0
124,3.122,3.386,303524.0,42.0,568.5,1137.0,68.183,12.7,15.3,7.7,0.0,66.0,0.25,0.0,29.1,44.6,2014.0,6.0,25.0
125,2.96,3.306,316848.0,43.0,360.0,720.0,60.786,11.8,15.0,6.7,0.0,66.0,0.0,0.0,27.4,51.9,2014.0,6.0,26.0
126,3.012,3.586,274982.0,39.0,367.5,735.0,60.981,7.5,11.7,5.0,0.0,52.0,5.59,512.0,22.8,35.2,2014.0,6.0,29.0
127,3.228,3.386,281415.0,33.0,360.0,774.0,60.758,9.7,12.3,4.8,0.0,50.0,0.51,51.8,19.8,33.5,2014.0,6.0,30.0
128,3.018,3.319,291995.0,44.0,347.5,695.0,61.533,11.1,12.0,7.4,0.0,75.0,0.0,10.0,16.9,25.9,2014.0,7.0,1.0
129,3.413,3.606,260039.0,40.0,367.5,735.0,61.541,10.6,15.8,5.5,0.0,68.0,0.0,10.0,20.4,42.4,2014.0,7.0,2.0
130,3.015,3.529,274374.0,39.0,380.5,761.0,61.541,8.7,12.0,5.4,0.0,82.0,0.0,10.0,35.9,53.5,2014.0,7.0,3.0
131,3.014,3.424,277587.0,35.0,290.0,580.0,55.946,9.2,13.2,3.9,0.0,86.0,0.25,10.9,16.7,31.7,2014.0,7.0,6.0
132,3.029,3.283,275868.0,36.0,367.0,734.0,60.662,10.4,15.3,3.1,0.0,74.0,0.0,10.0,33.0,50.0,2014.0,7.0,7.0
133,2.715,3.306,279933.0,33.0,410.0,737.0,50.0,10.9,13.6,7.9,0.0,67.0,0.0,10.0,43.5,68.3,2014.0,7.0,8.0
134,3.275,3.309,311573.0,37.0,255.0,510.0,57.99,7.7,12.2,4.8,0.0,84.0,8.13,9.5,18.3,40.7,2014.0,7.0,9.0
135,3.011,3.331,305095.0,49.0,250.0,500.0,58.526,8.9,13.5,4.2,0.0,80.0,0.0,10.0,26.1,38.9,2014.0,7.0,10.0
136,3.01,3.525,286865.0,39.0,277.0,554.0,58.616,11.1,13.0,3.2,0.0,67.0,0.0,10.0,17.2,22.2,2014.0,7.0,13.0
137,3.016,3.389,312907.0,40.0,307.5,615.0,58.617,9.2,12.4,6.6,0.0,72.0,0.0,10.0,16.5,37.0,2014.0,7.0,14.0
138,3.333,3.403,307497.0,39.0,300.0,600.0,58.616,10.0,11.6,6.8,0.0,78.0,0.51,10.0,22.6,38.9,2014.0,7.0,15.0
139,3.021,3.377,256799.0,31.0,250.0,586.0,54.63,10.4,13.8,7.0,0.0,73.0,0.0,10.0,27.0,38.9,2014.0,7.0,16.0
140,3.012,3.403,219150.0,38.0,337.5,675.0,60.991,7.2,11.8,4.5,0.0,70.0,3.81,10.0,27.2,57.6,2014.0,7.0,17.0
141,3.015,3.343,273029.0,37.0,372.5,745.0,61.033,7.6,12.8,4.0,0.0,87.0,0.0,10.0,8.3,18.3,2014.0,7.0,20.0
142,3.009,3.345,342539.0,31.0,382.5,765.0,60.406,7.3,13.4,3.0,0.0,86.0,0.25,6.9,8.9,14.8,2014.0,7.0,21.0
143,3.278,3.571,354523.0,40.0,370.0,740.0,60.629,5.0,10.1,0.0,0.0,97.0,0.0,4.7,7.8,14.8,2014.0,7.0,22.0
144,3.013,3.46,352130.0,40.0,420.0,840.0,62.257,8.6,12.4,-0.4,0.0,78.0,0.0,0.0,16.5,29.4,2014.0,7.0,23.0
145,2.988,3.535,339981.0,39.0,430.0,920.0,46.0,11.3,14.0,4.3,0.0,76.0,0.0,10.0,24.4,35.2,2014.0,7.0,24.0
146,3.003,3.438,366871.0,35.0,306.5,613.0,56.089,11.3,16.4,5.4,0.0,71.0,0.0,10.0,29.4,50.0,2014.0,7.0,27.0
147,3.17,3.44,315535.0,33.0,325.0,650.0,61.396,12.2,16.2,7.5,0.0,67.0,0.25,10.0,32.8,46.5,2014.0,7.0,28.0
148,3.326,3.484,292272.0,31.0,341.5,683.0,61.396,13.8,16.0,9.1,0.0,71.0,0.0,10.0,29.1,48.2,2014.0,7.0,29.0
149,3.03,3.431,300308.0,36.0,350.0,779.0,61.396,14.8,18.0,10.2,0.0,63.0,0.0,10.0,30.6,55.4,2014.0,7.0,30.0
150,3.264,3.492,315762.0,29.0,373.0,746.0,60.563,9.1,18.6,4.0,0.0,62.0,6.1,9.2,33.3,53.5,2014.0,7.0,31.0
151,3.053,3.467,230599.0,35.0,279.0,558.0,55.946,6.6,13.8,0.0,0.0,57.0,0.0,10.0,18.5,25.9,2014.0,8.0,3.0
152,1.606,3.28,322902.0,36.0,369.0,738.0,60.601,8.8,14.1,1.4,0.0,55.0,0.0,9.7,16.1,25.9,2014.0,8.0,4.0
153,3.354,3.175,323313.0,37.0,340.0,706.0,57.0,12.3,15.8,4.5,0.0,62.0,0.0,10.0,13.5,24.1,2014.0,8.0,5.0
154,3.097,3.613,319754.0,39.0,344.5,689.0,61.533,10.2,15.3,7.6,0.0,78.0,0.51,9.7,14.3,22.2,2014.0,8.0,6.0
155,3.049,3.486,325743.0,34.0,352.5,705.0,61.24,10.8,12.8,10.0,0.0,83.0,0.51,1.5,13.0,22.2,2014.0,8.0,7.0
156,3.048,3.347,285829.0,33.0,368.5,737.0,60.662,10.2,15.3,6.7,0.0,62.0,0.0,10.0,21.5,40.7,2014.0,8.0,8.0
157,3.219,3.416,306656.0,37.0,336.5,673.0,60.563,6.4,12.3,3.8,0.0,79.0,5.33,10.0,18.9,40.7,2014.0,8.0,10.0
158,3.025,3.326,326631.0,30.0,310.0,631.0,59.849,6.6,11.1,3.1,0.0,79.0,0.0,10.0,11.9,27.8,2014.0,8.0,11.0
159,3.371,4.007,362228.0,27.0,390.0,780.0,58.612,8.2,11.5,3.3,0.0,85.0,0.0,10.0,10.7,22.2,2014.0,8.0,12.0
160,3.737,4.389,346222.0,25.0,309.0,618.0,56.764,10.0,13.5,6.4,0.0,80.0,0.51,9.8,10.2,24.1,2014.0,8.0,13.0
161,4.558,4.834,219950.0,25.0,311.0,622.0,56.892,7.3,14.5,2.5,0.0,78.0,0.0,10.0,10.6,18.3,2014.0,8.0,14.0
162,3.576,4.076,330714.0,32.0,240.0,734.0,55.0,10.9,14.0,7.3,0.0,75.0,0.0,10.0,22.6,33.5,2014.0,8.0,17.0
163,3.399,3.648,349739.0,36.0,424.0,848.0,63.091,10.3,12.7,8.2,0.0,88.0,3.81,9.7,18.0,27.8,2014.0,8.0,18.0
164,3.352,3.577,323562.0,24.0,355.0,710.0,59.446,9.9,12.0,8.0,0.0,70.0,0.0,10.0,14.8,24.1,2014.0,8.0,19.0
165,3.32,3.687,318822.0,25.0,478.5,957.0,63.643,9.5,12.4,5.8,0.0,75.0,0.0,10.0,11.1,18.3,2014.0,8.0,20.0
166,3.025,3.53,341913.0,22.0,385.0,770.0,58.612,10.8,17.0,5.5,0.0,73.0,0.0,10.0,17.6,27.8,2014.0,8.0,21.0
167,3.052,3.261,341476.0,30.0,320.0,640.0,60.682,11.7,15.5,7.7,0.0,70.0,0.51,10.0,16.5,25.9,2014.0,8.0,24.0
168,3.048,3.574,333601.0,25.0,280.0,661.0,59.446,10.6,15.1,7.8,0.0,91.0,2.79,6.9,12.6,24.1,2014.0,8.0,25.0
169,3.041,3.455,305988.0,35.0,342.5,685.0,60.406,10.9,17.7,5.0,0.0,80.0,0.25,10.0,10.4,22.2,2014.0,8.0,26.0
170,3.207,3.443,304984.0,31.0,509.5,1019.0,63.643,10.1,19.0,2.7,0.0,76.0,0.0,8.0,8.0,18.3,2014.0,8.0,27.0
